Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE
People,Sex and Age,Total population,757558,(+/- 4975 ),749217,(+/- 9320 ),751776,(+/- 7349 ),792666,(+/- 11186 )
People,Sex and Age,Male,381433,(+/- 3764 ),380867,(+/- 6231 ),375920,(+/- 4777 ),399925,(+/- 7014 )
People,Sex and Age,Female,376125,(+/- 3235 ),368350,(+/- 6420 ),375856,(+/- 4449 ),392741,(+/- 6807 )
People,Sex and Age,Under 5 years,64929,(+/- 1754 ),52911,(+/- 2492 ),62395,(+/- 2723 ),73187,(+/- 3641 )
People,Sex and Age,5 to 9 years,68165,(+/- 2846 ),60260,(+/- 3903 ),67293,(+/- 3357 ),72937,(+/- 4365 )
People,Sex and Age,10 to 14 years,66581,(+/- 2979 ),57007,(+/- 3651 ),61934,(+/- 2857 ),66858,(+/- 3673 )
People,Sex and Age,15 to 19 years,61784,(+/- 2281 ),56220,(+/- 3113 ),64654,(+/- 2658 ),57074,(+/- 2985 )
People,Sex and Age,20 to 24 years,61163,(+/- 2210 ),55667,(+/- 3595 ),86420,(+/- 3463 ),50534,(+/- 3563 )
People,Sex and Age,25 to 34 years,103298,(+/- 2471 ),113933,(+/- 4480 ),103314,(+/- 3717 ),127489,(+/- 4644 )
People,Sex and Age,35 to 44 years,102573,(+/- 2045 ),100589,(+/- 3737 ),89718,(+/- 3238 ),117146,(+/- 4409 )
People,Sex and Age,45 to 54 years,79305,(+/- 2079 ),76737,(+/- 3420 ),73182,(+/- 3442 ),83628,(+/- 4159 )
People,Sex and Age,55 to 59 years,41665,(+/- 2010 ),37985,(+/- 2755 ),36616,(+/- 2351 ),37142,(+/- 2606 )
People,Sex and Age,60 to 64 years,33897,(+/- 1893 ),39588,(+/- 2835 ),32228,(+/- 2130 ),33721,(+/- 2754 )
People,Sex and Age,65 to 74 years,44665,(+/- 1238 ),55951,(+/- 2220 ),45510,(+/- 2601 ),44165,(+/- 2743 )
People,Sex and Age,75 to 84 years,20885,(+/- 1376 ),30959,(+/- 1835 ),20714,(+/- 1521 ),20833,(+/- 1884 )
People,Sex and Age,85 years and over,8648,(+/- 1048 ),11410,(+/- 1665 ),7798,(+/- 1093 ),7952,(+/- 1282 )
People,Sex and Age,Median age (years),30.5,(+/- 0.3 ),33.2,(+/- 0.5 ),27.7,(+/- 0.5 ),31.0,(+/- 0.5 )
People,Sex and Age,18 years and over,519395,(+/- 3531 ),544753,(+/- 7000 ),522796,(+/- 5926 ),542426,(+/- 8139 )
People,Sex and Age,65 years and over,74198,(+/- 1558 ),98320,(+/- 3156 ),74022,(+/- 3157 ),72950,(+/- 3331 )
People,Race,Total population,757558,(+/- 4975 ),749217,(+/- 9320 ),751776,(+/- 7349 ),792666,(+/- 11186 )
People,Race,One race,735382,(+/- 6265 ),728737,(+/- 9673 ),730407,(+/- 7711 ),767647,(+/- 10793 )
People,Race,White,679259,(+/- 7321 ),619637,(+/- 9481 ),686210,(+/- 8029 ),648177,(+/- 10475 )
People,Race,Black or African American,7787,(+/- 1359 ),10820,(+/- 2517 ),3944,(+/- 957 ),10249,(+/- 2624 )
People,Race,American Indian and Alaska Native,6849,(+/- 1526 ),7269,(+/- 1503 ),12223,(+/- 1966 ),5361,(+/- 2005 )
People,Race,Asian,11279,(+/- 1885 ),18055,(+/- 2395 ),14824,(+/- 2493 ),25992,(+/- 3183 )
People,Race,Native Hawaiian and Other Pacific Islander,3982,(+/- 839 ),7491,(+/- 2122 ),6347,(+/- 1441 ),11643,(+/- 2449 )
People,Race,Some other race,26226,(+/- 4907 ),65465,(+/- 8239 ),6859,(+/- 1802 ),66225,(+/- 8105 )
People,Race,Two or more races,22176,(+/- 3473 ),20480,(+/- 3267 ),21369,(+/- 2364 ),25019,(+/- 3670 )
People,Hispanic or Latino and Race,Total population,757558,(+/- 4975 ),749217,(+/- 9320 ),751776,(+/- 7349 ),792666,(+/- 11186 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),97949,(+/- 2770 ),111735,(+/- 8297 ),78668,(+/- 4697 ),132088,(+/- 8615 )
People,Hispanic or Latino and Race,Mexican,73192,(+/- 4343 ),78058,(+/- 8047 ),51917,(+/- 4736 ),99388,(+/- 8472 )
People,Hispanic or Latino and Race,Puerto Rican,3063,(+/- 1281 ),3486,(+/- 1853 ),1397,(+/- 751 ),4265,(+/- 2180 )
People,Hispanic or Latino and Race,Cuban,269,(+/- 317 ),854,(+/- 510 ),1079,(+/- 929 ),783,(+/- 708 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,21425,(+/- 3709 ),29337,(+/- 5086 ),24275,(+/- 4865 ),27652,(+/- 4730 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,659609,(+/- 5063 ),637482,(+/- 9329 ),673108,(+/- 7254 ),660578,(+/- 10385 )
People,Place of Birth,Total population,757558,(+/- 4975 ),749217,(+/- 9320 ),751776,(+/- 7349 ),792666,(+/- 11186 )
People,Place of Birth,Native,713888,(+/- 6139 ),677894,(+/- 9878 ),696128,(+/- 7944 ),710974,(+/- 12117 )
People,Place of Birth,Born in United States,705774,(+/- 6368 ),670142,(+/- 9857 ),689420,(+/- 8034 ),702177,(+/- 11762 )
People,Place of Birth,State of residence,495759,(+/- 9190 ),436411,(+/- 11220 ),452603,(+/- 10263 ),507470,(+/- 11426 )
People,Place of Birth,Different state,210015,(+/- 7450 ),233731,(+/- 9517 ),236817,(+/- 8895 ),194707,(+/- 9338 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8114,(+/- 1534 ),7752,(+/- 1968 ),6708,(+/- 1446 ),8797,(+/- 2163 )
People,Place of Birth,Foreign born,43670,(+/- 4028 ),71323,(+/- 6120 ),55648,(+/- 4086 ),81692,(+/- 6642 )
People,Ancestry,Total population,757558,(+/- 4975 ),749217,(+/- 9320 ),751776,(+/- 7349 ),792666,(+/- 11186 )
